Virus,Model,AUC-ROC,Accuracy,Precision,Recall,F1-Score,MCC
HCV,XGBoost,0.930749632533072,0.8630705394190872,0.8888888888888888,0.9107692307692308,0.8996960486322189,0.6846122209073532
HCV,MoLFormer,0.5878196962273395,0.7240663900414938,0.7152466367713004,0.9815384615384616,0.8274967574578469,0.3077280745915935
HCV,MolTRES,0.5761195492405685,0.6742738589211619,0.6742738589211619,1.0,0.80545229244114,0.0
HCV,Graphormer,0.5,0.6742738589211619,0.6742738589211619,1.0,0.80545229244114,0.0
HCV,SimSon,0.478500734933856,0.6804979253112033,0.6784968684759917,1.0,0.8084577114427861,0.113863551300791
HCV,MolE,0.4559137677609015,0.3257261410788382,0.0,0.0,0.0,0.0
Hepacivirus hominis,XGBoost,0.8941634241245137,0.8152350081037277,0.8455056179775281,0.8361111111111111,0.840782122905028,0.620776238073717
Hepacivirus hominis,MolTRES,0.56441850410722,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,MoLFormer,0.5116731517509727,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,Graphormer,0.5,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,SimSon,0.5,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,MolE,0.4958279290964115,0.4165316045380875,0.0,0.0,0.0,0.0
Hepatitis B virus,XGBoost,0.9098543468365954,0.8298368298368298,0.8037974683544303,0.7514792899408284,0.7767584097859327,0.6404786528131738
Hepatitis B virus,MolTRES,0.6140646335912608,0.6060606060606061,0.0,0.0,0.0,0.0
Hepatitis B virus,Graphormer,0.5,0.6060606060606061,0.0,0.0,0.0,0.0
Hepatitis B virus,SimSon,0.5,0.6060606060606061,0.0,0.0,0.0,0.0
Hepatitis B virus,MolE,0.3943104233045061,0.3939393939393939,0.3939393939393939,1.0,0.5652173913043478,0.0
Hepatitis B virus,MoLFormer,0.2924101046882111,0.6060606060606061,0.0,0.0,0.0,0.0
Human immunodeficiency virus 1,XGBoost,0.8295333111059817,0.7653061224489796,0.7671232876712328,0.7066246056782335,0.735632183908046,0.5266945923517041
Human immunodeficiency virus 1,Graphormer,0.6791182580595522,0.5379008746355685,0.0,0.0,0.0,0.0
Human immunodeficiency virus 1,MolE,0.5,0.4620991253644315,0.4620991253644315,1.0,0.6321036889332003,0.0
Human immunodeficiency virus 1,MolTRES,0.5,0.5379008746355685,0.0,0.0,0.0,0.0
Human immunodeficiency virus 1,SimSon,0.5,0.5379008746355685,0.0,0.0,0.0,0.0
Human immunodeficiency virus 1,MoLFormer,0.4680011626614688,0.5379008746355685,0.0,0.0,0.0,0.0
Human immunodeficiency virus type 1,XGBoost,0.8898051521564622,0.808955223880597,0.8394736842105263,0.8264248704663213,0.8328981723237598,0.61003557554263
Human immunodeficiency virus type 1,MoLFormer,0.6663048237612201,0.5761194029850746,0.5761194029850746,1.0,0.7310606060606061,0.0
Human immunodeficiency virus type 1,SimSon,0.5671522659271692,0.5761194029850746,0.5761194029850746,1.0,0.7310606060606061,0.0
Human immunodeficiency virus type 1,Graphormer,0.5,0.5761194029850746,0.5761194029850746,1.0,0.7310606060606061,0.0
Human immunodeficiency virus type 1,MolE,0.5,0.5761194029850746,0.5761194029850746,1.0,0.7310606060606061,0.0
Human immunodeficiency virus type 1,MolTRES,0.5,0.5761194029850746,0.5761194029850746,1.0,0.7310606060606061,0.0
Influenza,XGBoost,0.8642140468227424,0.7822878228782287,0.75,0.7304347826086957,0.7400881057268722,0.5529857549058258
Influenza,MolTRES,0.5987179487179487,0.5756457564575646,0.0,0.0,0.0,0.0
Influenza,MoLFormer,0.5522575250836119,0.5756457564575646,0.0,0.0,0.0,0.0
Influenza,MolE,0.5337513935340022,0.4243542435424354,0.4243542435424354,1.0,0.5958549222797928,0.0
Influenza,Graphormer,0.5,0.5756457564575646,0.0,0.0,0.0,0.0
Influenza,SimSon,0.4175306577480491,0.5756457564575646,0.0,0.0,0.0,0.0
Influenza A virus,XGBoost,0.7705486918604653,0.91796875,0.7741935483870968,0.3,0.4324324324324324,0.4498433839606489
Influenza A virus,Graphormer,0.6776798691860465,0.8958333333333334,0.0,0.0,0.0,0.0
Influenza A virus,MoLFormer,0.6578034156976744,0.8958333333333334,0.0,0.0,0.0,0.0
Influenza A virus,SimSon,0.5292151162790697,0.8958333333333334,0.0,0.0,0.0,0.0
Influenza A virus,MolE,0.5092841569767442,0.8958333333333334,0.0,0.0,0.0,0.0
Influenza A virus,MolTRES,0.5052325581395348,0.8958333333333334,0.0,0.0,0.0,0.0
Severe acute respiratory syndrome coronavirus 2,XGBoost,0.8779671404662566,0.905844155844156,0.7333333333333333,0.4177215189873418,0.532258064516129,0.5080257755057214
Severe acute respiratory syndrome coronavirus 2,MolTRES,0.5420290879947198,0.8717532467532467,0.0,0.0,0.0,0.0
Severe acute respiratory syndrome coronavirus 2,Graphormer,0.5326473846734083,0.8717532467532467,0.0,0.0,0.0,0.0
Severe acute respiratory syndrome coronavirus 2,MoLFormer,0.5165594135256818,0.8717532467532467,0.0,0.0,0.0,0.0
Severe acute respiratory syndrome coronavirus 2,SimSon,0.4960634561440727,0.8717532467532467,0.0,0.0,0.0,0.0
Severe acute respiratory syndrome coronavirus 2,MolE,0.4565330127525163,0.8717532467532467,0.0,0.0,0.0,0.0
Zika virus,XGBoost,0.9316206297083252,0.8979591836734694,0.8733333333333333,0.7844311377245509,0.8264984227129337,0.7567005458241415
Zika virus,MolTRES,0.5083059687077458,0.6901669758812616,0.0,0.0,0.0,0.0
Zika virus,SimSon,0.4976176678900263,0.6901669758812616,0.0,0.0,0.0,0.0
Zika virus,MolE,0.4794201918743159,0.6901669758812616,0.0,0.0,0.0,0.0
Zika virus,Graphormer,0.4717419998712253,0.6901669758812616,0.0,0.0,0.0,0.0
Zika virus,MoLFormer,0.4275964200630996,0.6901669758812616,0.0,0.0,0.0,0.0
dengue virus type 2,XGBoost,0.9145169617133246,0.914855072463768,0.925,0.7449664429530202,0.8252788104089219,0.7777347679506489
dengue virus type 2,Graphormer,0.5883641147767581,0.730072463768116,0.0,0.0,0.0,0.0
dengue virus type 2,MoLFormer,0.5381118124136093,0.730072463768116,0.0,0.0,0.0,0.0
dengue virus type 2,MolE,0.4984761936483087,0.730072463768116,0.0,0.0,0.0,0.0
dengue virus type 2,MolTRES,0.4888004396556031,0.730072463768116,0.0,0.0,0.0,0.0
dengue virus type 2,SimSon,0.4697403700434659,0.730072463768116,0.0,0.0,0.0,0.0
